Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
49,Kiskunfelegyhaza,125.265,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
50,Kiskunhalas,129.985,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
51,Kiskunlachaza,124.035,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
52,Kunmadaras,123.210,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
53,Kutas,135.710,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
54,Lipot,133.425,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
55,Maklar,129.985,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
56,Matkopuszta,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
57,Miskolc,132.215,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
58,Nagykanizsa,135.710,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
59,Nagyszenas,123.210,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
60,Nyiregyhaza,119.410,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
61,Nyul,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
62,Ocseny,122.835,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
63,Papkutapuszta,135.710,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
64,Pecs,126.915,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
65,Pusztacsalad,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
66,Pusztaszer,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
67,Retsag,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
68,Sarmellek,134.585,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
69,Sarszentmihaly,135.710,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
70,Siofok,125.435,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
71,Sitke,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
72,Soltvadkert,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
73,Surjany,123.210,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
74,Sulysap,123.210,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
75,Szabadszallas,123.210,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
76,Szarvas,123.210,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
77,Szatymaz,123.210,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
78,Szeged,122.810,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
79,Szentes,123.810,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
80,Szentkiralyszabadja,129.185,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
81,Szolnok,134.310,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
82,Szombathely,119.610,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
83,Tapioszentmarton,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
84,Tapolca,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
85,Terpes,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
